Rank,Actor_ID,Name,Img_link,Experince,Work
56,nm3310211,Rose Leslie,"https://m.media-amazon.com/images/M/MV5BMjUxMjI4MDEwM15BMl5BanBnXkFtZTgwNzMyODM0MTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Honeymoon (tt3177316)
57,nm0124930,Gerard Butler,"https://m.media-amazon.com/images/M/MV5BMjE4NDMwMzc4Ml5BMl5BanBnXkFtZTcwMDg4Nzg4Mg@@._V1_UY209_CR4,0,140,209_AL_.jpg",Actor,300 (tt0416449)
58,nm6073955,Florence Pugh,"https://m.media-amazon.com/images/M/MV5BOGM4ZGI5MTMtMTRkZC00MmM0LThmZTItNzNkZjM2MTg3N2U1XkEyXkFqcGdeQXVyNTQ1OTQ0OTA@._V1_UY209_CR8,0,140,209_AL_.jpg",Actress,The Falling (tt3294200)
59,nm0000161,Salma Hayek,"https://m.media-amazon.com/images/M/MV5BMzkyMTk2NzM2Ml5BMl5BanBnXkFtZTcwNDQ4MjYzMg@@._V1_UY209_CR4,0,140,209_AL_.jpg",Actress,Frida (tt0120679)
60,nm0174403,Kerry Condon,"https://m.media-amazon.com/images/M/MV5BMTY5NjgyNDU3OV5BMl5BanBnXkFtZTgwNzA4NDczNjE@._V1_UY209_CR13,0,140,209_AL_.jpg",Actress,"Three Billboards Outside Ebbing, Missouri (tt5027774)"
61,nm1869101,Ana de Armas,"https://m.media-amazon.com/images/M/MV5BMWM3MDMzNjMtODM5Ny00YmY0LWJhNzQtNTE1ZDNlNjllNDQ0XkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UY209_CR86,0,140,209_AL_.jpg",Actress,Blade Runner 2049 (tt1856101)
62,nm0717709,Kelly Reilly,"https://m.media-amazon.com/images/M/MV5BNjgzMzk2MjEzM15BMl5BanBnXkFtZTgwMTkzMDEwMTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Pride & Prejudice (tt0414387)
63,nm2201555,Aubrey Plaza,"https://m.media-amazon.com/images/M/MV5BMjIyMzYyMjQ5OV5BMl5BanBnXkFtZTcwMTA0MTkxNw@@._V1_UY209_CR3,0,140,209_AL_.jpg",Actress,Safety Not Guaranteed (tt1862079)
64,nm2399914,Kelli Berglund,"https://m.media-amazon.com/images/M/MV5BZTIyMzI3NDctYTQ4Mi00MDU2LWJkMjQtZTg0ZGJmYjhhMmNmXkEyXkFqcGdeQXVyMTI3ODc3NjU@._V1_UY209_CR13,0,140,209_AL_.jpg",Actress,Heels (tt6554240)
65,nm3718007,Jonathan Majors,"https://m.media-amazon.com/images/M/MV5BYTQ0ZDkzZmYtYzAzZC00YTUwLWJhZmEtZGRjZTQyYWUwYWI0XkEyXkFqcGdeQXVyMjU2Nzg3NzM@._V1_UY209_CR3,0,140,209_AL_.jpg",Actor,Lovecraft Country (tt6905686)
66,nm4250763,Ruby Stokes,"https://m.media-amazon.com/images/M/MV5BZmFkYTYxY2MtY2U1Ni00ZTFmLWE4OWMtNzJmYWFhNWY4YjZhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Una (tt2315582)
67,nm0000492,Jennifer Jason Leigh,"https://m.media-amazon.com/images/M/MV5BMTU1MzU2NTg0Nl5BMl5BanBnXkFtZTcwMjcyNjY0MQ@@._V1_UY209_CR10,0,140,209_AL_.jpg",Actress,The Hateful Eight (tt3460252)
68,nm0000506,Julia Louis-Dreyfus,"https://m.media-amazon.com/images/M/MV5BMTYzMDM2MTg2Nl5BMl5BanBnXkFtZTcwODQ0OTA1Mg@@._V1_UY209_CR5,0,140,209_AL_.jpg",Actress,Seinfeld (tt0098904)
69,nm2581521,Austin Butler,"https://m.media-amazon.com/images/M/MV5BYzE2YjhhYWQtNGZmYi00OWIzLTgwMTAtNWI3NWY0ZTUwOTNiXkEyXkFqcGdeQXVyNjY4MDI3NQ@@._V1_UY209_CR21,0,140,209_AL_.jpg",Actor,Elvis (tt3704428)
70,nm1428821,Joey King,"https://m.media-amazon.com/images/M/MV5BODJmZjUyZDUtYWU1MC00YmNjLWEzODgtOTFlMDRjZDQ0ZjRlXkEyXkFqcGdeQXVyMjMzMjAyOA@@._V1_UY209_CR34,0,140,209_AL_.jpg",Actress,The Act (tt8682948)
71,nm0268199,Colin Farrell,"https://m.media-amazon.com/images/M/MV5BMTg4NzM5NDk0MV5BMl5BanBnXkFtZTcwNzAzMTUxNw@@._V1_UY209_CR3,0,140,209_AL_.jpg",Actor,The Lobster (tt3464902)
72,nm0005299,Sarah Paulson,"https://m.media-amazon.com/images/M/MV5BMTUzMTA3NjM4MV5BMl5BanBnXkFtZTcwNjk1NTAyMg@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,12 Years a Slave (tt2024544)
73,nm0000702,Reese Witherspoon,"https://m.media-amazon.com/images/M/MV5BYTdlMzNkODUtZTA2My00NzJhLTkwMjAtMzk4MWQ0MDQzMGNiXkEyXkFqcGdeQXVyNDY1Njg3OA@@._V1_UY209_CR34,0,140,209_AL_.jpg",Producer,Wild (tt2305051)
74,nm2057859,Andrea Riseborough,"https://m.media-amazon.com/images/M/MV5BMTU5MTUzNDAwN15BMl5BanBnXkFtZTcwMjA0NjcyNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Birdman or (The Unexpected Virtue of Ignorance) (tt2562232)
75,nm0000158,Tom Hanks,"https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_UY209_CR2,0,140,209_AL_.jpg",Producer,Cast Away (tt0162222)
76,nm4965072,Lukas Gage,"https://m.media-amazon.com/images/M/MV5BNDg2OGIxOGEtMzQ5NS00MjUxLTlhMGYtNDUxZjMxZDU2ZTM5XkEyXkFqcGdeQXVyMTExNzQ3MzAw._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,Euphoria (tt8772296)
77,nm1093951,Aaron Taylor-Johnson,"https://m.media-amazon.com/images/M/MV5BMzE5MzI0MzY2OF5BMl5BanBnXkFtZTgwODE3MTk4MTE@._V1_UY209_CR9,0,140,209_AL_.jpg",Actor,Nocturnal Animals (tt4550098)
78,nm4726634,Haley Lu Richardson,"https://m.media-amazon.com/images/M/MV5BNDNhMTgwNzAtYzNiZC00MTRiLTg1M2ItYjA1OTNmZjRiYWU3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR3,0,140,209_AL_.jpg",Actress,Five Feet Apart (tt6472976)
79,nm0000706,Michelle Yeoh,"https://m.media-amazon.com/images/M/MV5BMTg0NTI0NDkzOF5BMl5BanBnXkFtZTcwMjYwMTIwNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Everything Everywhere All at Once (tt6710474)
80,nm2858875,Sydney Sweeney,"https://m.media-amazon.com/images/M/MV5BOTVjOTkxNjMtNDJiYS00YzEzLThmZTItZjJhM2E4NWQyM2Q2XkEyXkFqcGdeQXVyNzM1NTU0NA@@._V1_UY209_CR8,0,140,209_AL_.jpg",Actress,Euphoria (tt8772296)
81,nm0000291,Angela Bassett,"https://m.media-amazon.com/images/M/MV5BMjI4OTQ1NTcxOF5BMl5BanBnXkFtZTcwOTc1NTU0OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Black Panther (tt1825683)
82,nm0000115,Nicolas Cage,"https://m.media-amazon.com/images/M/MV5BMjUxMjE4MTQxMF5BMl5BanBnXkFtZTcwNzc2MDM1NA@@._V1_UY209_CR6,0,140,209_AL_.jpg",Actor,Face/Off (tt0119094)
83,nm4427331,Daniella Pineda,"https://m.media-amazon.com/images/M/MV5BZGNhYTBlYzYtYWE1My00OWFlLThjZWItOTgxMDRiOTc3YTg0XkEyXkFqcGdeQXVyMjI3NjE3MzI@._V1_UY209_CR12,0,140,209_AL_.jpg",Actress,Jurassic World: Dominion (tt8041270)
84,nm0792263,Taylor Sheridan,"https://m.media-amazon.com/images/M/MV5BMTU3NDUyMzE2OF5BMl5BanBnXkFtZTcwMTc0MDQ3MQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",Writer,Hell or High Water (tt2582782)
85,nm2832695,Deborah Ann Woll,"https://m.media-amazon.com/images/M/MV5BMjE2NjA4NzYyMV5BMl5BanBnXkFtZTcwODEwNjQyMw@@._V1_UY209_CR18,0,140,209_AL_.jpg",Actress,True Blood (tt0844441)
86,nm0000124,Jennifer Connelly,"https://m.media-amazon.com/images/M/MV5BNWM0OTlhYmQtZWI0NS00NzM0LWE5YjItMWZmYzkzY2FmNTc2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,A Beautiful Mind (tt0268978)
87,nm0001549,Rita Moreno,"https://m.media-amazon.com/images/M/MV5BMTkyMzI4ODExM15BMl5BanBnXkFtZTcwNjkzNDEzNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,West Side Story (tt0055614)
88,nm0577982,Harry Melling,"https://m.media-amazon.com/images/M/MV5BZjQ3OGE3MGUtZmViOC00N2M2LTlmNmMtMmZiZDUwYTcyMzUxXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,Harry Potter and the Sorcerer's Stone (tt0241527)
89,nm0484104,Sarah Lancashire,"https://m.media-amazon.com/images/M/MV5BMjI3MTk5MTU1NF5BMl5BanBnXkFtZTcwMzU1ODExOA@@._V1_UY209_CR9,0,140,209_AL_.jpg",Actress,Happy Valley (tt3428912)
90,nm0000255,Ben Affleck,"https://m.media-amazon.com/images/M/MV5BMzczNzNiMDAtMmUzZS00MTkwLWIwOTYtNmYyNjg3MTVkNThhXkEyXkFqcGdeQXVyMjA4MjI5MTA@._V1_UY209_CR8,0,140,209_AL_.jpg",Producer,Argo (tt1024648)
91,nm4422686,Barry Keoghan,"https://m.media-amazon.com/images/M/MV5BMTcyNzEzMjY4NV5BMl5BanBnXkFtZTgwOTMzOTA5MjI@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,The Killing of a Sacred Deer (tt5715874)
92,nm0004802,Linda Cardellini,"https://m.media-amazon.com/images/M/MV5BMTQ2MDM4MTM2NF5BMl5BanBnXkFtZTgwMTM4MjYyMDE@._V1_UY209_CR5,0,140,209_AL_.jpg",Actress,Scooby-Doo (tt0267913)
93,nm0000288,Christian Bale,"https://m.media-amazon.com/images/M/MV5BMTkxMzk4MjQ4MF5BMl5BanBnXkFtZTcwMzExODQxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,The Dark Knight (tt0468569)
94,nm0000182,Jennifer Lopez,"https://m.media-amazon.com/images/M/MV5BMTY0OTY3ODA3OV5BMl5BanBnXkFtZTcwMzMyMzQ1NQ@@._V1_UY209_CR21,0,140,209_AL_.jpg",Producer,Hustlers (tt5503686)
95,nm0000207,Christina Ricci,"https://m.media-amazon.com/images/M/MV5BMjUzMzk5NzcyNV5BMl5BanBnXkFtZTcwNzQ1NjkzNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Casper (tt0112642)
96,nm1475594,Channing Tatum,"https://m.media-amazon.com/images/M/MV5BMTUyOTc2NTEwNV5BMl5BanBnXkFtZTgwNDgxMjMxNjE@._V1_UY209_CR39,0,140,209_AL_.jpg",Actor,21 Jump Street (tt1232829)
97,nm0147147,Henry Cavill,"https://m.media-amazon.com/images/M/MV5BODI0MTYzNTIxNl5BMl5BanBnXkFtZTcwNjg2Nzc0NA@@._V1_UY209_CR18,0,140,209_AL_.jpg",Actor,Man of Steel (tt0770828)
98,nm0046112,Penn Badgley,"https://m.media-amazon.com/images/M/MV5BNGJmOTlmNWEtNDFmMy00MTQ2LThlZTItNzZlZGQzMzlhYjk4XkEyXkFqcGdeQXVyMTU3NjIxODkz._V1_UY209_CR13,0,140,209_AL_.jpg",Actor,You (tt7335184)
99,nm1968873,Ed Speleers,"https://m.media-amazon.com/images/M/MV5BNDUzODI1NDE1Ml5BMl5BanBnXkFtZTgwMTAwODU5NzE@._V1_UY209_CR8,0,140,209_AL_.jpg",Actor,Downton Abbey (tt1606375)
